order_id,customer_age,region,membership,channel,category,price,quantity,amount,grade_apply,grade_vec,membership_score,age_next_year_apply,age_next_year_vec,region_clean,membership_clean,channel_clean,membership_ord,ch_app,ch_web,ch_app.1,ch_web.1,quantity_mm,quantity_robust,amount_log
O00002,24.0,대구,basic,app,가전,249900.0,3,749700.0,high,high,1.0,25.0,25.0,대구,basic,app,1,1,0,1,0,0.0253164556962025,2.0,13.527429739357144
O01082,36.0,서울,gold,web,도서,249900.0,3,749700.0,high,high,3.0,37.0,37.0,서울,gold,web,3,0,1,0,1,0.0253164556962025,2.0,13.527429739357144
O00187,29.0,인천,vip,web,식품,249900.0,3,749700.0,high,high,4.0,30.0,30.0,인천,vip,web,4,0,1,0,1,0.0253164556962025,2.0,13.527429739357144
O00659,33.0,경기,basic,app,도서,249900.0,3,749700.0,high,high,1.0,34.0,34.0,경기,basic,app,1,1,0,1,0,0.0253164556962025,2.0,13.527429739357144
O00096,39.0,경기,silver,app,뷰티,249900.0,3,749700.0,high,high,2.0,40.0,40.0,경기,silver,app,2,1,0,1,0,0.0253164556962025,2.0,13.527429739357144
O00531,49.0,인천,basic,web,가전,249900.0,3,749700.0,high,high,1.0,50.0,50.0,인천,basic,web,1,0,1,0,1,0.0253164556962025,2.0,13.527429739357144
O00225,36.0,서울,silver,web,뷰티,249900.0,3,749700.0,high,high,2.0,37.0,37.0,서울,silver,web,2,0,1,0,1,0.0253164556962025,2.0,13.527429739357144
O01032,14.0,경기,gold,web,도서,249900.0,2,499800.0,high,high,3.0,15.0,15.0,경기,gold,web,3,0,1,0,1,0.0126582278481012,1.0,13.121965298181308
O00724,35.0,부산,basic,web,뷰티,249900.0,2,499800.0,high,high,1.0,36.0,36.0,부산,basic,web,1,0,1,0,1,0.0126582278481012,1.0,13.121965298181308
O00567,25.0,서울,basic,app,패션,249900.0,2,499800.0,high,high,1.0,26.0,26.0,서울,basic,app,1,1,0,1,0,0.0126582278481012,1.0,13.121965298181308
O00115,40.0,경기,basic,web,가전,249900.0,2,499800.0,high,high,1.0,41.0,41.0,경기,basic,web,1,0,1,0,1,0.0126582278481012,1.0,13.121965298181308
O00414,32.0,경기,basic,web,도서,249900.0,2,499800.0,high,high,1.0,33.0,33.0,경기,basic,web,1,0,1,0,1,0.0126582278481012,1.0,13.121965298181308
O00385,33.0,부산,basic,web,뷰티,249900.0,2,499800.0,high,high,1.0,34.0,34.0,부산,basic,web,1,0,1,0,1,0.0126582278481012,1.0,13.121965298181308
O00316,26.0,부산,vip,app,뷰티,249900.0,2,499800.0,high,high,4.0,27.0,27.0,부산,vip,app,4,1,0,1,0,0.0126582278481012,1.0,13.121965298181308
O01143,22.0,부산,gold,web,가전,249900.0,2,499800.0,high,high,3.0,23.0,23.0,부산,gold,web,3,0,1,0,1,0.0126582278481012,1.0,13.121965298181308
O01049,35.0,인천,basic,app,패션,249900.0,2,499800.0,high,high,1.0,36.0,36.0,인천,basic,app,1,1,0,1,0,0.0126582278481012,1.0,13.121965298181308
O00220,21.0,인천,basic,app,뷰티,249900.0,2,499800.0,high,high,1.0,22.0,22.0,인천,basic,app,1,1,0,1,0,0.0126582278481012,1.0,13.121965298181308
O00015,32.0,서울,basic,app,식품,249900.0,2,499800.0,high,high,1.0,33.0,33.0,서울,basic,app,1,1,0,1,0,0.0126582278481012,1.0,13.121965298181308
O01100,45.0,서울,basic,web,식품,249900.0,2,499800.0,high,high,1.0,46.0,46.0,서울,basic,web,1,0,1,0,1,0.0126582278481012,1.0,13.121965298181308
O01062,32.0,대구,silver,web,뷰티,249900.0,2,499800.0,high,high,2.0,33.0,33.0,대구,silver,web,2,0,1,0,1,0.0126582278481012,1.0,13.121965298181308
